LIMS_ID,B.naive,B.memory,Plasma.,T.CD8,T.CD4.naive,T.CD4.memory.resting,T.CD4.memory.activated,T.follicular.helper,T.regulatory.(Tregs),T.gamma.delta,NK.resting,NK.activated,Monocytes,Macrophages.M0,Macrophages.M1,Macrophages.M2,Dendritic.resting,Dendritic.activated,Mast.resting,Mast.activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
HOA7818A82,0.065141909,0,0,0.154944858,0,0,0.000950278,0,0.032023518,0,0.092407616,0.006175463,0.322489841,0.027194593,0,0,0,0,0.012850309,0,0,0.285821615,0,0.814482417,0.624062361
HOA7818A83,0,0.004200828,0.001136857,0.131529616,0.023334312,0.047864849,0.013064098,0,0.017924394,0,0.017585839,0.021131246,0.431882869,0,0,0,0,0.003470499,0.015334025,0,0,0.271540568,0,0.881300571,0.541666256
HOA7818A85,0.060184898,0,0,0.20016056,0.053978818,0,0.027901545,0,0.045885309,0,0,0.033074241,0.286467214,0,0.000647987,0.010971217,0.006022355,0,0,0.000251711,0,0.274454146,0,0.821501138,0.625992396
HOA7818A86,0.007790828,0,0,0.183863213,0.077794734,0,0.020115285,0,0.035425591,0,0.012138742,0.045979449,0.321985937,0,0,0,0,0.000681621,0.002915293,0,0,0.291309308,0,0.876606487,0.557606914
HOA7818A88,0.020966764,0,0,0.149839663,0.003658141,0.115578512,0.034802549,0,0.020331045,0,0.013157866,0.026375645,0.366382295,0,0,0.004027192,0,0,0.010229742,0,0,0.234650585,0,0.740554685,0.694842625
HOA7818A87,0.022122749,0,0.002611696,0.118423434,0.017533495,0,0.015178561,0,0.011647457,0,0.020280418,0.015579228,0.478986143,0.006038226,0,0,0,0.000951076,0.01253297,0,0,0.278114548,0,0.719209812,0.698265021
HOA7818A89,0.028746381,0,0,0.201321159,0.028710035,0.087169765,0.032819292,0,0.006277303,0,0.008668833,0.02772457,0.344715056,0.002925806,0,0,0,0,0.003509381,0,0,0.22741242,0,0.845758683,0.607173588
HOA7818A90,0.078618911,0,0,0.22042216,0,0.067956919,0.005332746,0,0.031810553,0,0.004466621,0.040020708,0.350084262,0,0,0,0,0.000821703,0.001886597,0,0,0.19857882,0,0.840856144,0.618541685
HOA7818A91,0.02301788,0,0.002830611,0.15817062,0.050981449,0.020307207,0.036239018,0,0.017308933,0,0.000531594,0.031593808,0.380883038,0.001572702,0,0,0.005022337,0.007130095,0.009315824,0,0,0.255094884,0,0.798835975,0.640289027
HOA7818A106,0.038345591,0.005533217,0,0.242878601,0.018863802,0.02110029,0.041604903,0,0.027744644,0,0,0.086215482,0.288918621,0.000888286,0,0,0.002422646,0,0.010487772,0,0,0.214996145,0,0.788272523,0.663227677
HOA7818A99,0.02784142,0,0,0.118301277,0.051075263,0,0.015510315,0,0.036131777,0,0.040100361,0.010605404,0.27850943,0.013696252,0,0,0,0,0,0,0,0.408228503,0,0.803532146,0.610883154
HOA7818A115,0.053073671,0,0,0.203507273,0.024128031,0.010343721,0.009946738,0,0.046252962,0,0.020860818,0.050188484,0.285886672,0,0,0,0,0.001735942,0.021950572,0,0,0.272125116,0,0.843077677,0.606124726
HOA7818A93,0.036934507,0,0,0.12955359,0.011969727,0.030084725,0.006515205,0,0.02392492,0,0.023705289,0.014635337,0.311727077,0,0,0,0,0.002417955,0.001122451,0.00097143,0,0.406437787,0,0.766950345,0.647959549
HOA7818A96,0,0,0.003212709,0.086257965,0.02360941,0,0.02624953,0,0.022857021,0,0.011188686,0.036727779,0.349250427,0,0,0,0,0.000717315,0,0.012452889,0,0.427476269,0,0.854450854,0.538259609
HOA7818A100,0.023770615,0,0,0.039410546,0.043019802,0.007531852,0.009133148,0,0.009305648,0,0.022847618,0.009369735,0.370183443,0,0,0.000121454,0,0.001942297,0.006119508,0,0,0.457244335,0,0.796097503,0.606727548
HOA7818A102,0.063675856,0,0,0.184648953,0.043052584,0.017863726,0.004342518,0,0.012176349,0,0.035320354,0.049156784,0.304634576,0,0,0,0,0.000431788,0.010838214,0,0,0.2738583,0,0.844426391,0.600450013
HOA7818A112,0.039521216,0,0,0.119080316,0.117398286,0,0.020030105,0,0.026380016,0,0.004600569,0.010424304,0.440054987,0,0.000861549,0,0,0.001898437,0.011578278,0,0,0.208171936,0,0.756211915,0.679392243
HOA7818A98,0.008325536,0,0.002524649,0.13091615,0.031150969,0.024589724,0.014456934,0,0.030386223,0.004580917,0.028511489,0.049070477,0.442136856,0,0,0,0,0.00222437,0.019177784,0,0,0.211947923,0,0.718999333,0.708285428
HOA7818A101,0.009144946,0.003601634,0,0.200820325,0.019347902,0.066034091,0.00022883,0,0.027579717,0,0.044054583,0.057737829,0.297454039,0.008746156,0,0,0,0,0,0.001029253,0,0.264220695,0,0.806236237,0.63388158
HOA7818A97,0.03081418,0,0,0.139876708,0.053963077,0,0.006604724,0,0.034748042,0,0.037154226,0.030009203,0.394934449,0,0,0,0,0.000896862,0.008675829,0,0,0.262322701,0,0.785097363,0.64769852
HOA7818A110,0.037998585,0.00651902,0,0.298644693,0.045551942,0.017728874,0.035315892,0,0.002580848,0,0,0.074949775,0.264490351,0,0,0,0,0.003184971,0.003563927,0,0,0.209471123,0,0.809433442,0.645239151
HOA7818A116,0.043938578,0.005587796,0,0.288323346,0.068226238,0.082950551,0.022077574,0,0.021482214,0,0.050310105,0.053565559,0.214576127,0,0,0,0,0,0.003325015,0,0,0.145636897,0,0.79861283,0.659970102
HOA7818A107,0.02162844,0,0,0.128949334,0.06106069,0.063667107,0.011477916,0,0.00842133,0,0.023798606,0.076819632,0.395613709,0,0,0.003728131,0,0.001426421,0.00725824,0,0,0.196150443,0,0.788596812,0.656503668
HOA7818A108,0,0.034593613,0,0.239973329,0.077589094,0.037227353,0.03534127,0,0,0.001885297,0,0.089987597,0.264493553,0,0,0,0.005438345,0.006427647,0,0.001938948,0,0.205103955,0,0.671226022,0.752824932
HOA7818A109,0.056279217,0,0,0.129575775,0.076468203,0,0.020192559,0,0.024534829,0.003557417,0.016050612,0.054992558,0.33932598,0,0,0,0,0.00328741,0.010661472,0,0,0.26507397,0,0.631625892,0.776926849
